region_sido,region_sigungu,doctor_level,year,doctor_no
강원,강릉시,total,2007,326
강원,강릉시,total,2008,330
강원,강릉시,total,2009,385
강원,강릉시,total,2010,399
강원,강릉시,total,2011,399
강원,강릉시,total,2012,395
강원,강릉시,total,2013,428
강원,강릉시,total,2014,430
강원,강릉시,total,2015,439
강원,강릉시,total,2016,455
강원,강릉시,total,2017,465
강원,강릉시,total,2018,475
강원,강릉시,total,2019,475
강원,강릉시,total,2020,475
강원,강릉시,total,2021,485
강원,강릉시,total,2022,495
강원,강릉시,total,2023,477
강원,강릉시,total,2024,488
강원,강릉시,total,2025,455
강원,강릉시,레지던트,2007,45
강원,강릉시,레지던트,2008,41
강원,강릉시,레지던트,2009,83
강원,강릉시,레지던트,2010,67
강원,강릉시,레지던트,2011,65
강원,강릉시,레지던트,2012,58
강원,강릉시,레지던트,2013,70
강원,강릉시,레지던트,2014,64
강원,강릉시,레지던트,2015,61
강원,강릉시,레지던트,2016,61
강원,강릉시,레지던트,2017,62
강원,강릉시,레지던트,2018,65
강원,강릉시,레지던트,2019,61
강원,강릉시,레지던트,2020,45
강원,강릉시,레지던트,2021,43
강원,강릉시,레지던트,2022,38
강원,강릉시,레지던트,2023,34
강원,강릉시,레지던트,2024,36
강원,강릉시,레지던트,2025,13
강원,강릉시,인턴,2007,0
강원,강릉시,인턴,2008,0
강원,강릉시,인턴,2009,0
강원,강릉시,인턴,2010,2
강원,강릉시,인턴,2011,0
강원,강릉시,인턴,2012,0
강원,강릉시,인턴,2013,0
강원,강릉시,인턴,2014,0
강원,강릉시,인턴,2015,0
강원,강릉시,인턴,2016,0
강원,강릉시,인턴,2017,0
강원,강릉시,인턴,2018,0
강원,강릉시,인턴,2019,0
강원,강릉시,인턴,2020,1
강원,강릉시,인턴,2021,0
강원,강릉시,인턴,2022,0
강원,강릉시,인턴,2023,0
강원,강릉시,인턴,2024,0
강원,강릉시,인턴,2025,0
강원,강릉시,일반의,2007,20
강원,강릉시,일반의,2008,19
강원,강릉시,일반의,2009,13
강원,강릉시,일반의,2010,25
강원,강릉시,일반의,2011,21
강원,강릉시,일반의,2012,19
강원,강릉시,일반의,2013,15
강원,강릉시,일반의,2014,20
강원,강릉시,일반의,2015,17
강원,강릉시,일반의,2016,18
강원,강릉시,일반의,2017,21
강원,강릉시,일반의,2018,18
강원,강릉시,일반의,2019,14
강원,강릉시,일반의,2020,16
강원,강릉시,일반의,2021,21
강원,강릉시,일반의,2022,27
강원,강릉시,일반의,2023,18
강원,강릉시,일반의,2024,19
강원,강릉시,일반의,2025,23
강원,강릉시,전문의,2007,261
강원,강릉시,전문의,2008,270
강원,강릉시,전문의,2009,289
강원,강릉시,전문의,2010,305
강원,강릉시,전문의,2011,313
강원,강릉시,전문의,2012,318
강원,강릉시,전문의,2013,343
강원,강릉시,전문의,2014,346
강원,강릉시,전문의,2015,361
강원,강릉시,전문의,2016,376
강원,강릉시,전문의,2017,382
강원,강릉시,전문의,2018,392
강원,강릉시,전문의,2019,400
강원,강릉시,전문의,2020,413
강원,강릉시,전문의,2021,421
강원,강릉시,전문의,2022,430
강원,강릉시,전문의,2023,425
강원,강릉시,전문의,2024,433
강원,강릉시,전문의,2025,419
강원,고성군,total,2007,14
강원,고성군,total,2008,14
강원,고성군,total,2009,14
강원,고성군,total,2010,14
강원,고성군,total,2011,13
강원,고성군,total,2012,13
강원,고성군,total,2013,11
강원,고성군,total,2014,13
강원,고성군,total,2015,14
강원,고성군,total,2016,12
강원,고성군,total,2017,12
강원,고성군,total,2018,13
강원,고성군,total,2019,11
강원,고성군,total,2020,12
강원,고성군,total,2021,12
강원,고성군,total,2022,11
강원,고성군,total,2023,8
강원,고성군,total,2024,9
강원,고성군,total,2025,8
강원,고성군,레지던트,2007,0
강원,고성군,레지던트,2008,0
강원,고성군,레지던트,2009,0
강원,고성군,레지던트,2010,0
강원,고성군,레지던트,2011,0
강원,고성군,레지던트,2012,0
강원,고성군,레지던트,2013,0
강원,고성군,레지던트,2014,0
강원,고성군,레지던트,2015,0
강원,고성군,레지던트,2016,0
강원,고성군,레지던트,2017,0
강원,고성군,레지던트,2018,0
강원,고성군,레지던트,2019,0
강원,고성군,레지던트,2020,0
강원,고성군,레지던트,2021,0
강원,고성군,레지던트,2022,0
강원,고성군,레지던트,2023,0
강원,고성군,레지던트,2024,0
강원,고성군,레지던트,2025,0
강원,고성군,인턴,2007,0
강원,고성군,인턴,2008,0
강원,고성군,인턴,2009,0
강원,고성군,인턴,2010,0
강원,고성군,인턴,2011,0
강원,고성군,인턴,2012,0
강원,고성군,인턴,2013,0
강원,고성군,인턴,2014,0
강원,고성군,인턴,2015,0
강원,고성군,인턴,2016,0
강원,고성군,인턴,2017,0
강원,고성군,인턴,2018,0
강원,고성군,인턴,2019,0
강원,고성군,인턴,2020,0
강원,고성군,인턴,2021,0
강원,고성군,인턴,2022,0
강원,고성군,인턴,2023,0
강원,고성군,인턴,2024,0
강원,고성군,인턴,2025,0
강원,고성군,일반의,2007,7
강원,고성군,일반의,2008,6
