region_sido,region_sigungu,hospital_type,year,hospital_no,net_entry,exit_no,exit_rate,entry_no,entry_rate
강원,강릉시,병원,2007,3,,2,0.6666666666666666,,
강원,강릉시,병원,2008,3,0,0,0.0,0,0.0
강원,강릉시,병원,2009,3,0,0,0.0,0,0.0
강원,강릉시,병원,2010,3,0,0,0.0,0,0.0
강원,강릉시,병원,2011,3,0,0,0.0,0,0.0
강원,강릉시,병원,2012,3,0,0,0.0,0,0.0
강원,강릉시,병원,2013,3,0,0,0.0,0,0.0
강원,강릉시,병원,2014,5,2,0,0.0,2,0.4
강원,강릉시,병원,2015,5,0,0,0.0,0,0.0
강원,강릉시,병원,2016,5,0,0,0.0,0,0.0
강원,강릉시,병원,2017,4,-1,1,0.25,0,0.0
강원,강릉시,병원,2018,3,-1,1,0.3333333333333333,0,0.0
강원,강릉시,병원,2019,3,0,0,0.0,0,0.0
강원,강릉시,병원,2020,3,0,0,0.0,0,0.0
강원,강릉시,병원,2021,3,0,2,0.6666666666666666,2,0.6666666666666666
강원,강릉시,병원,2022,1,-2,0,0.0,-2,-2.0
강원,강릉시,병원,2023,1,0,0,0.0,0,0.0
강원,강릉시,병원,2024,1,0,0,0.0,0,0.0
강원,강릉시,병원,2025,1,0,0,0.0,0,0.0
강원,강릉시,상급종합병원,2007,0,,0,,,
강원,강릉시,상급종합병원,2008,0,0,0,,0,
강원,강릉시,상급종합병원,2009,0,0,0,,0,
강원,강릉시,상급종합병원,2010,0,0,0,,0,
강원,강릉시,상급종합병원,2011,0,0,0,,0,
강원,강릉시,상급종합병원,2012,0,0,0,,0,
강원,강릉시,상급종합병원,2013,0,0,0,,0,
강원,강릉시,상급종합병원,2014,0,0,0,,0,
강원,강릉시,상급종합병원,2015,0,0,0,,0,
강원,강릉시,상급종합병원,2016,0,0,0,,0,
강원,강릉시,상급종합병원,2017,0,0,0,,0,
강원,강릉시,상급종합병원,2018,0,0,0,,0,
강원,강릉시,상급종합병원,2019,0,0,0,,0,
강원,강릉시,상급종합병원,2020,0,0,0,,0,
강원,강릉시,상급종합병원,2021,1,1,0,0.0,1,1.0
강원,강릉시,상급종합병원,2022,1,0,0,0.0,0,0.0
강원,강릉시,상급종합병원,2023,1,0,0,0.0,0,0.0
강원,강릉시,상급종합병원,2024,1,0,0,0.0,0,0.0
강원,강릉시,상급종합병원,2025,1,0,0,0.0,0,0.0
강원,강릉시,의원,2007,94,,8,0.0851063829787234,,
강원,강릉시,의원,2008,96,2,6,0.0625,8,0.08333333333333333
강원,강릉시,의원,2009,93,-3,3,0.03225806451612903,0,0.0
강원,강릉시,의원,2010,99,6,6,0.06060606060606061,12,0.12121212121212122
강원,강릉시,의원,2011,102,3,2,0.0196078431372549,5,0.049019607843137254
강원,강릉시,의원,2012,104,2,3,0.028846153846153848,5,0.04807692307692308
강원,강릉시,의원,2013,103,-1,5,0.04854368932038835,4,0.038834951456310676
강원,강릉시,의원,2014,102,-1,2,0.0196078431372549,1,0.00980392156862745
