region_sido,region_sigungu,year,population
강원,강릉시,2007,220484
강원,강릉시,2008,218399
강원,강릉시,2009,217464
강원,강릉시,2010,218503
강원,강릉시,2011,217571
강원,강릉시,2012,217741
강원,강릉시,2013,216806
강원,강릉시,2014,215807
강원,강릉시,2015,214560
강원,강릉시,2016,213846
강원,강릉시,2017,213952
강원,강릉시,2018,212957
강원,강릉시,2019,213442
강원,강릉시,2020,213321
강원,강릉시,2021,212965
강원,강릉시,2022,211381
강원,강릉시,2023,209439
강원,강릉시,2024,207731
강원,강릉시,2025,206237
강원,고성군,2007,30383
강원,고성군,2008,30172
강원,고성군,2009,30272
강원,고성군,2010,30112
강원,고성군,2011,30057
강원,고성군,2012,30124
강원,고성군,2013,30398
강원,고성군,2014,30269
강원,고성군,2015,30060
강원,고성군,2016,30114
강원,고성군,2017,30029
강원,고성군,2018,28144
강원,고성군,2019,27260
강원,고성군,2020,26757
강원,고성군,2021,27249
강원,고성군,2022,27274
강원,고성군,2023,27305
강원,고성군,2024,26999
강원,고성군,2025,26845
강원,동해시,2007,96652
강원,동해시,2008,95652
강원,동해시,2009,95271
강원,동해시,2010,95236
강원,동해시,2011,95804
강원,동해시,2012,93897
강원,동해시,2013,95143
강원,동해시,2014,94562
강원,동해시,2015,93895
강원,동해시,2016,93297
강원,동해시,2017,92851
강원,동해시,2018,91272
강원,동해시,2019,90522
강원,동해시,2020,90593
강원,동해시,2021,90081
강원,동해시,2022,89426
강원,동해시,2023,88625
강원,동해시,2024,87675
강원,동해시,2025,86333
강원,삼척시,2007,70791
강원,삼척시,2008,70954
강원,삼척시,2009,71935
강원,삼척시,2010,72046
강원,삼척시,2011,72312
강원,삼척시,2012,72463
강원,삼척시,2013,73023
강원,삼척시,2014,72314
강원,삼척시,2015,70839
강원,삼척시,2016,69599
강원,삼척시,2017,68514
강원,삼척시,2018,68326
강원,삼척시,2019,67228
강원,삼척시,2020,65243
강원,삼척시,2021,63429
강원,삼척시,2022,63455
강원,삼척시,2023,62651
강원,삼척시,2024,61735
강원,삼척시,2025,60518
강원,속초시,2007,85370
강원,속초시,2008,84599
강원,속초시,2009,83822
강원,속초시,2010,84302
강원,속초시,2011,83745
강원,속초시,2012,83579
강원,속초시,2013,83109
강원,속초시,2014,82432
강원,속초시,2015,81992
강원,속초시,2016,81793
강원,속초시,2017,82273
강원,속초시,2018,81682
강원,속초시,2019,81786
강원,속초시,2020,82665
강원,속초시,2021,82791
강원,속초시,2022,82806
강원,속초시,2023,82054
강원,속초시,2024,80933
강원,속초시,2025,79636
강원,양구군,2007,21401
강원,양구군,2008,21303
강원,양구군,2009,21323
강원,양구군,2010,21843
강원,양구군,2011,22285
강원,양구군,2012,22799
강원,양구군,2013,23594
강원,양구군,2014,23888
강원,양구군,2015,24089
강원,양구군,2016,24010
강원,양구군,2017,23835
강원,양구군,2018,23408
강원,양구군,2019,22764
강원,양구군,2020,22278
강원,양구군,2021,21748
강원,양구군,2022,21383
강원,양구군,2023,21056
강원,양구군,2024,20621
강원,양구군,2025,20410
강원,양양군,2007,28472
강원,양양군,2008,28115
강원,양양군,2009,27957
강원,양양군,2010,27929
강원,양양군,2011,27942
강원,양양군,2012,27802
강원,양양군,2013,27659
강원,양양군,2014,27521
강원,양양군,2015,27479
강원,양양군,2016,27218
강원,양양군,2017,27207
강원,양양군,2018,27347
강원,양양군,2019,27726
강원,양양군,2020,27946
강원,양양군,2021,27913
강원,양양군,2022,27866
강원,양양군,2023,27710
강원,양양군,2024,27489
강원,양양군,2025,27292
강원,영월군,2007,40290
강원,영월군,2008,40201
강원,영월군,2009,40265
강원,영월군,2010,40407
강원,영월군,2011,40199
강원,영월군,2012,40155
강원,영월군,2013,40150
강원,영월군,2014,40191
강원,영월군,2015,40216
강원,영월군,2016,40073
강원,영월군,2017,40067
강원,영월군,2018,39730
강원,영월군,2019,39127
강원,영월군,2020,38662
강원,영월군,2021,37904
강원,영월군,2022,37728
강원,영월군,2023,37332
강원,영월군,2024,36721
강원,영월군,2025,36054
강원,원주시,2007,298762
강원,원주시,2008,303975
강원,원주시,2009,307882
강원,원주시,2010,314678
강원,원주시,2011,320536
강원,원주시,2012,323885
강원,원주시,2013,324837
강원,원주시,2014,327292
강원,원주시,2015,332995
강원,원주시,2016,337979
강원,원주시,2017,341337
강원,원주시,2018,344070
강원,원주시,2019,349215
강원,원주시,2020,354376
강원,원주시,2021,357757
강원,원주시,2022,360807
강원,원주시,2023,361503
강원,원주시,2024,362164
강원,원주시,2025,363194
강원,인제군,2007,32079
강원,인제군,2008,31620
강원,인제군,2009,31452
강원,인제군,2010,31842
강원,인제군,2011,31970
강원,인제군,2012,32456
강원,인제군,2013,32517
강원,인제군,2014,32475
강원,인제군,2015,33255
강원,인제군,2016,32720
강원,인제군,2017,32582
강원,인제군,2018,32136
강원,인제군,2019,31672
강원,인제군,2020,31694
강원,인제군,2021,32165
강원,인제군,2022,32206
강원,인제군,2023,32020
강원,인제군,2024,31535
강원,인제군,2025,30863
강원,정선군,2007,41806
강원,정선군,2008,41269
