region_sido,region_sigungu,year,selected_station,selected_terminal,ktx_travel_time_min,ktx_travel_time_median,ktx_travel_time_mean,car_to_station_time,wait_penalty,train_travel_time_min,train_travel_time_median,train_travel_time_mean,interval_minutes,n_trains,distance_to_station_km,car_travel_time,travel_time
강원,강릉시,2007,,,,,,,,,,,,,,177.8,177.8
강원,강릉시,2008,,,,,,,,,,,,,,177.8,177.8
강원,강릉시,2009,,,,,,,,,,,,,,177.8,177.8
강원,강릉시,2010,,,,,,,,,,,,,,177.8,177.8
강원,강릉시,2011,,,,,,,,,,,,,,177.8,177.8
강원,강릉시,2012,,,,,,,,,,,,,,177.8,177.8
강원,강릉시,2013,,,,,,,,,,,,,,177.8,177.8
강원,강릉시,2014,,,,,,,,,,,,,,177.8,177.8
강원,강릉시,2015,,,,,,,,,,,,,,177.8,177.8
강원,강릉시,2016,,,,,,,,,,,,,,177.8,177.8
강원,강릉시,2017,,,,,,,,,,,,,,177.8,177.8
강원,강릉시,2018,강릉역,서울역,156.5,162.5,162.44444444444446,13.5,30.0,113,119.0,118.94444444444444,60.0,18,8.379574029951876,177.8,162.5
강원,강릉시,2019,강릉역,서울역,156.5,162.5,162.44444444444446,13.5,30.0,113,119.0,118.94444444444444,60.0,18,8.379574029951876,177.8,162.5
강원,강릉시,2020,강릉역,서울역,156.5,163.0,163.21428571428572,13.5,30.0,113,119.5,119.71428571428571,78.46153846153847,14,8.379574029951876,177.8,163.0
강원,강릉시,2021,강릉역,서울역,154.5,162.5,163.78571428571428,13.5,30.0,111,119.0,120.28571428571429,78.84615384615384,14,8.379574029951876,177.8,162.5
강원,강릉시,2022,강릉역,서울역,154.5,162.5,163.78571428571428,13.5,30.0,111,119.0,120.28571428571429,78.84615384615384,14,8.379574029951876,177.8,162.5
강원,강릉시,2023,강릉역,서울역,154.5,165.5,165.64285714285714,13.5,30.0,111,122.0,122.14285714285714,79.07692307692308,14,8.379574029951876,177.8,165.5
