year,station_name,terminal_station,ktx_travel_time_min,ktx_travel_time_median,ktx_travel_time_mean,interval_minutes,n_trains
2007,계룡역,용산역,71,74.0,74.25,260.0,4
2007,광명역,서울역,15,17.0,16.923076923076923,37.55263157894737,39
2007,광명역,용산역,13,14.0,15.357142857142858,103.61538461538461,14
2007,광주송정역,용산역,148,170.0,170.42105263157896,54.166666666666664,19
2007,구포역,서울역,156,165.5,165.46153846153845,41.4,26
2007,김제역,용산역,123,126.0,127.83333333333333,175.2,6
2007,나주역,용산역,169,177.5,177.25,250.0,4
2007,논산역,용산역,88,91.0,92.5,175.2,6
2007,대전역,서울역,51,59.0,58.60294117647059,15.64179104477612,68
2007,동대구역,서울역,99,109.0,109.03030303030303,15.923076923076923,66
2007,목포역,용산역,181,202.0,198.0,121.42857142857143,8
2007,밀양역,서울역,135,142.5,142.3181818181818,45.95238095238095,22
2007,부산역,서울역,160,175.0,174.625,18.818181818181817,56
2007,서대전역,용산역,51,59.0,58.94736842105263,54.888888888888886,19
2007,익산역,용산역,101,113.0,111.47368421052632,54.77777777777778,19
2007,장성역,용산역,152,156.0,157.88888888888889,109.375,9
2007,정읍역,용산역,131,138.0,138.15384615384616,72.91666666666667,13
2007,천안아산역,서울역,36,40.0,39.38709677419355,33.36666666666667,31
2007,천안아산역,용산역,35,37.0,38.0,140.85714285714286,8
2008,계룡역,용산역,71,74.0,73.2,197.5,5
2008,광명역,서울역,15,15.0,15.145833333333334,30.085106382978722,48
2008,광명역,용산역,13,13.0,14.0,67.92857142857143,15
2008,광주송정역,용산역,151,162.5,162.1,101.88888888888889,10
2008,광주역,용산역,169,172.0,173.66666666666666,118.125,9
2008,구포역,서울역,150,161.0,160.2258064516129,35.2,31
2008,김제역,용산역,118,123.5,123.66666666666667,172.6,6
2008,나주역,용산역,164,174.5,174.5,256.6666666666667,4
2008,논산역,용산역,84,89.0,89.66666666666667,172.6,6
2008,대전역,서울역,48,58.0,56.013333333333335,14.31081081081081,75
2008,동대구역,서울역,95,106.0,104.4931506849315,14.666666666666666,73
2008,목포역,용산역,184,196.5,196.4,102.22222222222223,10
2008,밀양역,서울역,119,136.0,134.72,39.916666666666664,25
2008,부산역,서울역,160,172.0,171.79591836734693,21.979166666666668,49
2008,서대전역,용산역,51,56.0,56.473684210526315,55.22222222222222,19
2008,익산역,용산역,102,109.0,109.10526315789474,55.22222222222222,19
2008,장성역,용산역,144,149.0,149.875,113.71428571428571,8
2008,정읍역,용산역,125,133.5,133.71428571428572,72.6923076923077,14
2008,천안아산역,서울역,35,37.0,37.2,26.256410256410255,40
2008,천안아산역,용산역,32,35.0,35.25,135.85714285714286,8
2009,계룡역,용산역,71,74.0,73.2,197.5,5
2009,광명역,서울역,15,15.0,15.145833333333334,30.085106382978722,48
2009,광명역,용산역,13,13.0,14.0,67.92857142857143,15
2009,광주송정역,용산역,151,162.5,162.1,101.88888888888889,10
2009,광주역,용산역,169,172.0,173.66666666666666,118.125,9
2009,구포역,서울역,150,161.0,160.2258064516129,35.2,31
2009,김제역,용산역,118,123.5,123.66666666666667,172.6,6
2009,나주역,용산역,164,174.5,174.5,256.6666666666667,4
2009,논산역,용산역,84,89.0,89.66666666666667,172.6,6
2009,대전역,서울역,48,58.0,56.013333333333335,14.31081081081081,75
2009,동대구역,서울역,95,106.0,104.4931506849315,14.666666666666666,73
2009,목포역,용산역,184,196.5,196.4,102.22222222222223,10
2009,밀양역,서울역,119,136.0,134.72,39.916666666666664,25
2009,부산역,서울역,160,172.0,171.79591836734693,21.979166666666668,49
2009,서대전역,용산역,51,56.0,56.473684210526315,55.22222222222222,19
2009,익산역,용산역,102,109.0,109.10526315789474,55.22222222222222,19
2009,장성역,용산역,144,149.0,149.875,113.71428571428571,8
2009,정읍역,용산역,125,133.5,133.71428571428572,72.6923076923077,14
2009,천안아산역,서울역,35,37.0,37.2,26.256410256410255,40
2009,천안아산역,용산역,32,35.0,35.25,135.85714285714286,8
2010,계룡역,용산역,72,76.0,77.5,156.2,6
2010,광명역,서울역,9,15.0,14.717391304347826,30.622222222222224,46
2010,광명역,용산역,13,13.0,15.25,90.0,16
