year,source_file,sheet_name,line,direction,train_no,train_type,station_name,station_order,time_minutes,service_note
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,101,,서울역,2,325,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,101,,광명역,3,341,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,101,,천안아산역,4,364,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,101,,대전역,5,388,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,101,,동대구역,6,438,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,101,,밀양역,7,471,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,101,,구포역,8,496,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,101,,부산역,9,508,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,105,,서울역,2,350,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,105,,광명역,3,366,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,105,,천안아산역,4,390,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,105,,대전역,5,415,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,105,,동대구역,6,465,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,105,,밀양역,7,498,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,105,,구포역,8,523,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,105,,부산역,9,535,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,107,,서울역,2,420,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,107,,대전역,5,474,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,107,,동대구역,6,523,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,107,,부산역,9,586,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,109,,서울역,2,425,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,109,,광명역,3,441,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,109,,천안아산역,4,464,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,109,,대전역,5,489,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,109,,동대구역,6,539,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,109,,부산역,9,603,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,111,,서울역,2,445,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,111,,천안아산역,4,481,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,111,,대전역,5,505,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,111,,동대구역,6,557,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,111,,밀양역,7,589,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,111,,구포역,8,614,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,111,,부산역,9,627,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,113,,행신역,1,450,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,113,,서울역,2,475,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,113,,천안아산역,4,511,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,113,,대전역,5,536,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,113,,동대구역,6,586,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,113,,부산역,9,649,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,115,,서울역,2,500,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,115,,광명역,3,516,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,115,,대전역,5,559,
2007,2007년 KTX 시간표.xls,KTX-07년6월1일부터,경부선,하행,115,,동대구역,6,609,
