region_sido,region_sigungu,car_travel_time
강원,강릉시,177.8
강원,고성군,185.6
강원,동해시,212.7
강원,삼척시,244.7
강원,속초시,158.3
강원,양구군,137.4
강원,양양군,284.4
강원,영월군,154.1
강원,원주시,95.4
강원,인제군,144.5
강원,정선군,194.9
강원,철원군,95.7
강원,춘천시,92.9
강원,태백시,193.6
강원,평창군,145.4
강원,홍천군,103.6
강원,화천군,124.3
강원,횡성군,113.6
경기,가평군,72.7
경기,고양시 덕양구,23.3
경기,고양시 일산 동구,30.1
경기,고양시 일산 서구,31.2
경기,과천시,14.4
경기,광명시,18.1
경기,광주시,46.7
경기,구리시,23.5
경기,군포시,30.4
경기,김포시,37.8
경기,남양주시,38.1
경기,동두천시,63.6
경기,부천시,21.6
경기,성남시 분당구,30.6
경기,성남시 수정구,26.2
경기,성남시 중원구,29.4
경기,수원시 권선구,36.2
경기,수원시 영통구,36.0
경기,수원시 장안구,39.3
경기,수원시 팔달구,33.7
경기,시흥시,30.4
경기,안산시 단원구,72.2
경기,안산시 상록구,35.3
경기,안성시,66.3
경기,안양시 동안구,20.4
경기,안양시 만안구,23.8
경기,양주시,42.5
경기,양평군,71.7
경기,여주시,68.9
경기,연천군,81.0
경기,오산시,47.6
경기,용인시 기흥구,39.1
경기,용인시 수지구,34.3
경기,용인시 처인구,51.2
경기,의왕시,25.3
경기,의정부시,32.1
경기,이천시,71.2
경기,파주시,48.0
경기,평택시,57.8
경기,포천시,60.9
경기,하남시,27.4
경기,화성시,47.1
경남,거제시,312.9
경남,거창군,219.4
경남,고성군,281.2
경남,김해시,280.3
경남,남해군,286.4
경남,밀양시,255.3
경남,사천시,266.8
경남,산청군,279.7
경남,양산시,290.6
경남,의령군,269.0
경남,진주시,261.6
경남,창녕군,239.5
경남,창원시,271.9
경남,통영시,300.7
경남,하동군,274.3
경남,함안군,266.7
경남,함양군,221.7
경남,합천군,240.9
경북,경산시,234.4
경북,경주시,246.7
경북,고령군,229.6
경북,구미시,176.7
경북,군위군,206.8
경북,김천시,190.9
경북,문경시,135.2
경북,봉화군,192.5
경북,상주시,160.3
경북,성주군,200.1
경북,안동시,196.7
경북,영덕군,272.4
경북,영양군,233.9
경북,영주시,167.4
경북,영천시,220.5
경북,예천군,165.7
경북,울릉군,385.7
경북,울진군,279.8
경북,의성군,200.9
경북,청도군,245.4
경북,청송군,225.2
경북,칠곡군,208.9
경북,포항시 남구,263.0
경북,포항시 북구,269.9
광주,광산구,230.6
광주,남구,232.6
광주,동구,236.1
광주,북구,227.3
광주,서구,227.2
대구,남구,217.4
대구,달서구,216.6
대구,달성군,223.6
대구,동구,225.2
대구,북구,217.5
대구,서구,210.9
대구,수성구,226.2
대구,중구,216.3
대전,대덕구,124.5
대전,동구,132.2
대전,서구,136.4
대전,유성구,123.6
대전,중구,141.7
부산,강서구,291.2
부산,금정구,290.5
부산,기장군,300.7
부산,남구,295.8
부산,동구,292.7
부산,동래구,289.5
부산,부산진구,289.2
부산,북구,286.0
부산,사상구,287.6
부산,사하구,297.4
부산,서구,297.1
부산,수영구,297.6
부산,연제구,291.4
부산,영도구,300.0
부산,중구,294.7
부산,해운대구,333.1
서울,강남구,17.4
서울,강동구,23.3
서울,강북구,18.7
서울,강서구,19.5
서울,관악구,22.9
서울,광진구,16.6
서울,구로구,15.1
서울,금천구,14.6
서울,노원구,22.7
서울,도봉구,22.1
서울,동대문구,14.6
서울,동작구,6.5
서울,마포구,9.8
서울,서대문구,10.7
서울,서초구,15.7
서울,성동구,11.7
서울,성북구,14.2
서울,송파구,19.3
서울,양천구,13.0
서울,영등포구,8.6
서울,용산구,5.5
서울,은평구,16.8
서울,종로구,11.7
서울,중구,7.8
서울,중랑구,18.9
울산,남구,287.4
울산,동구,291.7
울산,북구,279.4
울산,울주군,273.6
울산,중구,282.8
인천,강화군,66.2
인천,계양구,30.1
인천,남구,32.3
인천,남동구,32.4
인천,동구,33.7
인천,부평구,26.3
인천,서구,32.2
인천,연수구,38.8
인천,옹진군,175.0
인천,중구,47.6
전남,강진군,273.4
전남,고흥군,292.0
전남,곡성군,228.3
전남,광양시,263.3
전남,구례군,234.1
전남,나주시,245.6
전남,담양군,224.9
전남,목포시,249.9
전남,무안군,240.1
전남,보성군,283.4
전남,순천시,250.8
전남,신안군,281.3
전남,여수시,276.5
전남,영광군,214.9
전남,영암군,270.9
전남,완도군,322.4
전남,장성군,205.2
전남,장흥군,284.0
전남,진도군,306.1
전남,함평군,231.8
전남,해남군,293.4
전남,화순군,255.4
전북,고창군,199.5
전북,군산시,156.3
전북,김제시,165.4
전북,남원시,204.3
전북,무주군,177.9
전북,부안군,185.4
전북,순창군,209.9
전북,완주군,164.6
전북,익산시,142.4
전북,임실군,189.1
전북,장수군,206.1
전북,전주시 덕진구,160.0
전북,전주시 완산구,172.0
전북,정읍시,185.8
전북,진안군,191.6
제주,서귀포시,507.8
제주,제주시,502.5
충남,계룡시,134.1
충남,금산군,151.4
충남,논산시,137.8
충남,당진시,79.1
충남,보령시,123.5
충남,부여군,131.7
충남,서산시,95.6
충남,서천군,145.9
충남,아산시,80.7
충남,예산군,93.6
충남,천안시,81.4
충남,청양군,117.7
충남,태안군,118.9
충남,홍성군,120.3
충북,괴산군,127.1
충북,단양군,149.7
충북,보은군,132.4
충북,영동군,167.4
충북,옥천군,152.3
충북,음성군,88.8
충북,제천시,128.4
충북,증평군,104.9
충북,진천군,88.1
충북,충주시,109.2
