"cutoff_band","region","distance_km","shock_station","line","shock_year","baseline_hospital_no","baseline_doctor_no"
"0-10km","강원 강릉시",8.4,"강릉역","경강선(강릉선)",2018,103,330
"0-10km","강원 동해시",6.1,"동해역","영동선",2020,49,104
"0-10km","강원 원주시",6.1,"만종역","경강선(강릉선)",2018,157,609
"0-10km","경남 진주시",4.6,"진주역","경전선",2013,167,685
"0-10km","경남 창원시",4.4,"마산역","경전선",2011,558,1291
"0-10km","경북 경산시",7.5,"경산역","경부선",2013,122,250
"0-10km","경북 경주시",9.3,"신경주역","경부고속",2011,117,315
"0-10km","경북 안동시",4.8,"안동역","중앙선(도담-경주)",2021,77,229
"0-10km","경북 영주시",6.7,"풍기역","중앙선(도담-경주)",2021,60,87
"0-10km","광주 광산구",4.7,"광주송정역","호남고속",2015,158,415
"0-10km","광주 남구",7.7,"광주송정역","호남고속",2015,114,370
"0-10km","광주 서구",5.4,"광주송정역","호남고속",2015,191,402
"0-10km","대구 달서구",6.1,"서대구역","경부선",2022,332,620
"0-10km","울산 남구",3.6,"울산역","경부고속",2011,236,449
"0-10km","울산 동구",6.6,"울산역","경부고속",2011,85,317
"0-10km","울산 북구",8.2,"울산역","경부고속",2011,53,87
"0-10km","울산 중구",5.5,"울산역","경부고속",2011,100,220
"0-10km","전남 곡성군",8.3,"곡성역","전라선",2012,17,34
"0-10km","전남 구례군",9.3,"구례구역","전라선",2012,10,27
"0-10km","전남 나주시",2.8,"나주역","호남선",2015,54,138
"0-10km","전남 목포시",1.3,"목포역","호남선",2015,157,358
"0-10km","전남 여수시",7.9,"여천역","전라선",2012,132,287
"0-10km","전북 남원시",7.5,"남원역","전라선",2012,55,130
"0-10km","전북 완주군",9.1,"전주역","전라선",2012,34,64
"0-10km","전북 전주시 덕진구",4.6,"전주역","전라선",2012,171,643
"0-10km","전북 전주시 완산구",7.4,"전주역","전라선",2012,251,590
"0-10km","전북 정읍시",6.5,"정읍역","호남고속",2015,79,157
"0-10km","충북 단양군",4.6,"단양역","중앙선(도담-경주)",2021,9,22
"0-10km","충북 제천시",9.4,"제천역","중앙선(청량리-도담)",2021,79,125
"10-20km","경남 남해군",19.5,"여수엑스포역","전라선",2012,27,47
"10-20km","경남 사천시",15.5,"진주역","경전선",2013,56,116
"10-20km","경남 양산시",11.7,"물금역","경부선",2024,113,212
"10-20km","경남 함안군",14.6,"마산역","경전선",2011,31,59
"10-20km","경북 구미시",18.8,"김천(구미)역","경부고속",2011,189,381
"10-20km","경북 김천시",11,"김천(구미)역","경부고속",2011,63,144
"10-20km","경북 청도군",17.2,"경산역","경부선",2013,21,45
"10-20km","경북 칠곡군",16.4,"서대구역","경부선",2022,51,74
"10-20km","경북 포항시 남구",11.1,"포항역","동해선",2015,89,239
"10-20km","경북 포항시 북구",18.2,"포항역","동해선",2015,153,387
"10-20km","광주 동구",14.5,"광주송정역","호남고속",2015,139,954
"10-20km","광주 북구",13.6,"광주송정역","호남고속",2015,264,465
"10-20km","부산 기장군",19.7,"물금역","경부선",2024,36,64
"10-20km","울산 울주군",15.2,"울산역","경부고속",2011,58,139
"10-20km","전남 광양시",16.3,"순천역","전라선",2012,48,93
"10-20km","전남 무안군",18.4,"목포역","호남선",2015,31,61
"10-20km","전남 순천시",11.5,"순천역","전라선",2012,138,342
"10-20km","전남 함평군",19.9,"나주역","호남선",2015,18,51
"20-30km","강원 삼척시",24.5,"동해역","영동선",2020,28,54
"20-30km","강원 영월군",27.6,"제천역","중앙선(청량리-도담)",2021,15,42
"20-30km","강원 횡성군",23.3,"만종역","경강선(강릉선)",2018,14,23
"20-30km","경남 고성군",26.2,"진주역","경전선",2013,22,53
"20-30km","경남 산청군",27.6,"진주역","경전선",2013,13,31
"20-30km","경남 의령군",28.9,"진주역","경전선",2013,14,28
"20-30km","경남 하동군",29.9,"구례구역","전라선",2012,21,45
