"region_sido","region_sigungu","region","year","hospital_no"
"강원","강릉시","강원 강릉시",2007,0
"강원","강릉시","강원 강릉시",2008,0
"강원","강릉시","강원 강릉시",2009,0
"강원","강릉시","강원 강릉시",2010,0
"강원","강릉시","강원 강릉시",2011,0
"강원","강릉시","강원 강릉시",2012,0
"강원","강릉시","강원 강릉시",2013,0
"강원","강릉시","강원 강릉시",2014,0
"강원","강릉시","강원 강릉시",2015,0
"강원","강릉시","강원 강릉시",2016,0
"강원","강릉시","강원 강릉시",2017,0
"강원","강릉시","강원 강릉시",2018,0
"강원","강릉시","강원 강릉시",2019,0
"강원","강릉시","강원 강릉시",2020,0
"강원","강릉시","강원 강릉시",2021,1
"강원","강릉시","강원 강릉시",2022,1
"강원","강릉시","강원 강릉시",2023,1
"강원","강릉시","강원 강릉시",2024,1
"강원","강릉시","강원 강릉시",2025,1
"강원","원주시","강원 원주시",2007,1
"강원","원주시","강원 원주시",2008,1
"강원","원주시","강원 원주시",2009,1
"강원","원주시","강원 원주시",2010,1
"강원","원주시","강원 원주시",2011,1
"강원","원주시","강원 원주시",2012,1
"강원","원주시","강원 원주시",2013,1
"강원","원주시","강원 원주시",2014,1
"강원","원주시","강원 원주시",2015,1
"강원","원주시","강원 원주시",2016,1
"강원","원주시","강원 원주시",2017,1
"강원","원주시","강원 원주시",2018,1
"강원","원주시","강원 원주시",2019,1
"강원","원주시","강원 원주시",2020,1
"강원","원주시","강원 원주시",2021,1
"강원","원주시","강원 원주시",2022,1
"강원","원주시","강원 원주시",2023,1
"강원","원주시","강원 원주시",2024,1
"강원","원주시","강원 원주시",2025,1
"강원","춘천시","강원 춘천시",2007,1
"강원","춘천시","강원 춘천시",2008,1
"강원","춘천시","강원 춘천시",2009,1
"강원","춘천시","강원 춘천시",2010,1
"강원","춘천시","강원 춘천시",2011,1
"강원","춘천시","강원 춘천시",2012,1
"강원","춘천시","강원 춘천시",2013,0
"강원","춘천시","강원 춘천시",2014,0
"강원","춘천시","강원 춘천시",2015,0
