요양기관명,요양종별,시도명,시군구명,폐업일자
(공동체의료소비자생활협동조합)비타민의원,의원,광주,서구,2021-09-07
(국민보건의료소비자생활협동조합)다나의원,의원,충북,청주시 흥덕구,2010-09-01
(모아의료소비자생활협동조합)대연사거리한의원,한의원,부산,남구,2017-02-08
(모아의료소비자생활협동조합)대연성림의원,의원,부산,남구,2017-02-08
(복)효실천운동본부충남북도지회충남의원,의원,대전,동구,2008-12-17
(복지)예사랑병원,병원,부산,서구,2021-04-01
(本)본브릿지병원,병원,서울,송파구,2021-10-18
(사)가슴이따뜻한사람들신의원,의원,대전,서구,2014-12-04
(사)국제환경문화운동본부삼성본치과의원,치과의원,인천,부평구,2012-10-09
(사)국제환경문화운동본부스카이의원,의원,서울,종로구,2014-03-07
(사)국제환경문화운동본부한성메디칼의원,의원,인천,남동구,2012-08-20
(사)글로벌기독교선교단체협의회홍성연합의원,의원,충남,홍성군,2009-08-31
(사)기독교국제선교협회 삼성연합의원,의원,전남,무안군,2016-04-29
(사)기독교국제선교협회문학메디칼의원,의원,인천,미추홀구,2010-07-01
(사)기독교국제선교협회산정의원,의원,전남,목포시,2015-05-01
(사)기독교국제선교협회진도의원,의원,전남,진도군,2016-11-01
(사)기독교국제선교협회튼튼의원,의원,서울,강동구,2011-12-30
(사)노인의료복지경조회삼성의원,의원,강원,화천군,2009-02-04
(사)노인의료복지경조회성림한의원,한의원,강원,원주시,2017-09-13
(사)노인의료복지경조회주안푸른의원,의원,인천,미추홀구,2011-07-21
(사)노인의료복지경조회한솔의원,의원,경남,남해군,2008-01-31
(사)누가삼성연합의원,의원,인천,연수구,2014-03-01
(사)누가선교회 누가플러스치과의원,치과의원,서울,영등포구,2023-12-14
(사)늘푸름의료소비자생활협동조합정다운의원,의원,울산,남구,2007-04-13
(사)대전광역시간질장애인지원협회아름다운의원,의원,대전,서구,2007-08-24
(사)대전시정신장애인애호인협회부설세이조은의원,의원,대전,중구,2008-07-18
(사)대한교통장애인연합회 사랑나눔의원,의원,서울,금천구,2017-09-06
(사)대한보건의료진흥회다겸한의원,한의원,경남,창원시 진해구,2012-12-05
(사)대한산업보건협회군산산업보건센타군산서해의원,의원,전북,군산시,2024-01-31
(사)대한호스피스금사한의원,한의원,부산,금정구,2003-02-03
(사)대한호스피스회금사의원,의원,부산,금정구,2003-02-03
(사)대한호스피스회평화요양병원,요양병원,부산,기장군,2010-09-10
(사)동북아우의연맹맑은한의원,한의원,광주,동구,2011-04-06
(사)모두사랑재단연수한의원,한의원,경기,수원시 장안구,2005-01-01
(사)부산노인복지진흥회 참사랑복지의원,의원,부산,남구,2017-06-03
(사)부산노인복지진흥회부성의원,의원,부산,동래구,2016-12-01
(사)부산노인복지진흥회부성한의원,한의원,부산,동래구,2016-12-01
(사)부산노인복지진흥회효도의원,의원,부산,부산진구,2016-12-01
(사)부산시치과의사회 나눔봉사단 치과의원,치과의원,부산,동구,2021-04-07
(사)상록복지회부설중동강남의원,의원,경기,부천시,2007-07-17
(사)상록복지회삼성의원,의원,경기,파주시,2007-08-25
(사)상록복지회현대연합의원,의원,경기,부천시,2007-08-27
(사)새사랑의원,의원,광주,서구,2013-12-09
(사)센텀의료소비자생활협동조합사랑부속의원,의원,부산,남구,2009-08-21
(사)소망호스피스부속소망병원,병원,대전,중구,2006-01-24
(사)솔래연합의원,의원,전북,전주시 덕진구,2012-06-01
(사)아산회부설신천중앙의원,의원,경기,시흥시,2002-01-31
(사)애린복지재단안산성심의원,의원,경기,안산시 단원구,2003-10-30
(사)열린사회복지교육재단부천늘사랑요양병원,요양병원,경기,부천시,2014-12-16
(사)외국인근로자와다문화가정지원협회 하이큐나눔치과의원,치과의원,인천,부평구,2015-10-26
(사)외국인근로자와다문화가정지원협회나눔치과의원,치과의원,인천,부평구,2015-10-14
(사)장애우사랑운동본부부설삼성의원,의원,충북,단양군,2004-07-05
(사)장애우사랑운동본부부설수원의원,의원,경기,수원시 권선구,2006-03-27
(사)장애우사랑운동본부원종서울의원,의원,경기,부천시,2006-08-18
(사)장애우사랑운동본부참사랑의원,의원,전북,전주시 완산구,2005-10-14
(사)장애우사랑운동본부한솔의원,의원,경기,부천시,2006-11-01
(사)장애우자활추진본부부설충남의원,의원,대전,동구,2024-01-09
(사)장애인복지개발연구원다빈한의원,한의원,부산,부산진구,2011-05-20
(사)장애인복지개발연구원메디안의원,의원,부산,금정구,2011-07-14
(사)장애인복지개발연구원자강요양병원,요양병원,경남,양산시,2010-05-19
(사)장애인복지개발연구원장림센텀병원,병원,부산,사하구,2011-11-07
(사)장애인복지개발연구원탱탱한의원,한의원,부산,부산진구,2011-11-30
(사)장애인복지개발원고운미한의원,한의원,부산,부산진구,2010-06-28
(사)전북교통기능장애인협회참사랑의원,의원,전북,전주시 완산구,2007-09-05
(사)정신장애인애호인협회동제의원,의원,충북,보은군,2005-12-24
(사)주은기독의료선교회선이고은의원,의원,경남,밀양시,2011-05-09
(사)주은기독의료선교회해동메디칼의원,의원,부산,사하구,2012-03-02
(사)참조은의료소비자생활협동조합민들레요양병원,요양병원,경남,김해시,2015-05-01
(사)청소년홍익계승육성회동양한의원,한의원,충북,진천군,2013-10-21
(사)청소년화랑계승육성회서울성심의원,의원,서울,영등포구,2003-08-27
(사)청소년화랑발전육성회복지한의원,한의원,전남,순천시,2001-11-02
(사)청소년화랑발전육성회한빛의원,의원,경북,영주시,2011-09-01
(사)청소년화랑발전육성회현대연합의원,의원,충북,음성군,2010-10-01
(사)청화고산성모의원,의원,전북,완주군,2002-03-29
(사)청화사랑의원,의원,경남,밀양시,2001-12-10
