"[1535413101140071HC3]시군구별","시군구별","[A01]전문과목별","전문과목별","[Item]항목","항목","단위","2007.01 월","2008.01 월","2009.1/4","2010.1/4","2011.1/4","2012.1/4","2013.1/4","2014.1/4","2015.1/4","2016.1/4","2017.1/4","2018.1/4","2019.1/4","2020.1/4","2021.1/4","2022.1/4","2023.1/4","2024.1/4","2025.1/4",
"1535413102140071HC3.11","서울","A002","내과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","2398","2513","2692","2893","3056","3208","3399","3605","3711","3844","3955","4094","4206","4462","4663","4759","4925","4892","5070",
"1535413102140071HC3.11","서울","A003","신경과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","218","237","257","277","299","315","339","375","387","410","415","435","459","490","528","539","559","575","590",
"1535413102140071HC3.11","서울","A004","정신건강의학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","537","561","589","598","610","619","636","667","669","700","731","774","832","893","978","1054","1124","1170","1242",
"1535413102140071HC3.11","서울","A005","외과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","936","1003","1070","1112","1148","1229","1272","1311","1346","1335","1395","1414","1452","1502","1556","1606","1631","1616","1684",
"1535413102140071HC3.11","서울","A006","정형외과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","920","940","991","1041","1071","1125","1208","1240","1285","1335","1350","1416","1463","1536","1561","1613","1642","1672","1718",
"1535413102140071HC3.11","서울","A007","신경외과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","395","404","428","448","475","493","535","552","554","576","591","613","626","647","668","665","662","669","685",
"1535413102140071HC3.11","서울","A008","심장혈관흉부외과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","209","211","226","237","242","256","265","276","266","266","270","278","286","295","296","297","308","306","323",
"1535413102140071HC3.11","서울","A009","성형외과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","444","482","541","576","615","619","665","709","736","782","845","893","933","1038","1084","1159","1228","1267","1317",
"1535413102140071HC3.11","서울","A010","마취통증의학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","664","691","765","825","877","948","1021","1081","1106","1136","1192","1246","1321","1382","1442","1475","1514","1533","1575",
"1535413102140071HC3.11","서울","A011","산부인과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","1217","1276","1345","1368","1404","1411","1425","1478","1496","1509","1519","1552","1551","1570","1565","1598","1604","1599","1622",
"1535413102140071HC3.11","서울","A012","소아청소년과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","1010","1017","1059","1098","1118","1134","1174","1228","1203","1223","1250","1259","1252","1274","1295","1342","1415","1486","1498",
"1535413102140071HC3.11","서울","A013","안과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","655","684","715","745","779","795","809","877","877","898","929","970","1023","1063","1106","1148","1155","1152","1179",
"1535413102140071HC3.11","서울","A014","이비인후과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","712","743","778","807","848","899","922","956","983","1008","1021","1054","1064","1086","1091","1115","1132","1146","1179",
"1535413102140071HC3.11","서울","A015","피부과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","534","557","594","627","639","650","676","705","726","752","763","812","831","859","882","903","921","931","985",
"1535413102140071HC3.11","서울","A016","비뇨의학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","452","473","498","520","535","555","579","600","620","634","648","677","690","694","710","709","724","726","738",
"1535413102140071HC3.11","서울","A017","영상의학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","732","751","799","849","892","942","1032","1080","1106","1140","1161","1208","1230","1278","1346","1386","1428","1425","1462",
"1535413102140071HC3.11","서울","A018","방사선종양학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","55","60","68","76","77","83","85","97","100","103","105","102","109","118","119","125","126","128","129",
"1535413102140071HC3.11","서울","A019","병리과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","199","203","206","224","246","254","265","281","285","275","285","293","290","314","327","332","366","357","362",
"1535413102140071HC3.11","서울","A020","진단검사의학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","193","198","209","206","214","215","219","239","233","240","245","251","263","272","289","302","305","306","311",
"1535413102140071HC3.11","서울","A021","결핵과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","29","28","27","28","28","26","25","24","24","23","22","22","20","18","18","19","17","18","18",
"1535413102140071HC3.11","서울","A022","재활의학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","260","270","287","297","307","339","350","383","408","434","462","459","509","551","587","601","636","662","669",
"1535413102140071HC3.11","서울","A023","핵의학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","33","34","45","44","50","56","64","73","69","74","75","79","86","87","96","99","96","96","96",
"1535413102140071HC3.11","서울","A024","가정의학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","895","967","1050","1124","1185","1205","1303","1365","1411","1443","1502","1607","1678","1820","1864","1905","2007","2004","2086",
"1535413102140071HC3.11","서울","A025","응급의학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","99","107","131","151","160","185","217","227","252","273","297","313","338","380","406","423","438","474","520",
"1535413102140071HC3.11","서울","A026","직업환경의학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","26","26","31","29","30","38","41","45","49","58","64","68","70","78","85","95","99","101","115",
"1535413102140071HC3.11","서울","A027","예방의학과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","39","37","35","35","35","26","32","31","35","36","35","39","35","42","45","48","45","46","42",
"1535413102140071HC3.110001","강남구","A002","내과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","304","332","368","402","417","416","466","465","472","497","520","525","536","566","569","587","574","573","611",
"1535413102140071HC3.110001","강남구","A003","신경과","1635413103140071S1[14STD04553]","전문의 인원현황[명]","명","27","32","34","33","35","36","41","46","57","56","55","56","61","68","74","77","80","81","86",
