"[1535413101140068HC3]시군구별","시군구별","[1535413101140068HD0]표시과목별","표시과목별","[Item]항목","항목","단위","2006.01 월","2007.01 월","2008.01 월","2009.01 월","2010.1/4","2011.1/4","2012.1/4","2013.1/4","2014.1/4","2015.1/4","2016.1/4","2017.1/4","2018.1/4","2019.1/4","2020.1/4","2021.1/4","2022.1/4","2023.1/4","2024.1/4","2025.1/4",
"1535413102140068HC3.11","서울","1535413102140068HD0.1","내과","1635413103140068AAA[14STD03220]","의원현황[개]","개","824","844","866","","906","925","924","942","956","970","996","1021","1053","1085","1115","1149","1188","1232","1265","1289",
"1535413102140068HC3.11","서울","1535413102140068HD0.2","신경과","1635413103140068AAA[14STD03220]","의원현황[개]","개","32","30","29","","33","35","36","37","37","37","41","42","41","41","44","45","48","52","56","66",
"1535413102140068HC3.11","서울","1535413102140068HD0.3","정신건강의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","218","225","232","","244","240","240","244","248","257","276","290","310","349","398","449","500","537","571","616",
"1535413102140068HC3.11","서울","1535413102140068HD0.4","외과","1635413103140068AAA[14STD03220]","의원현황[개]","개","193","188","201","","197","206","200","203","193","195","196","197","201","198","206","211","220","222","230","237",
"1535413102140068HC3.11","서울","1535413102140068HD0.5","정형외과","1635413103140068AAA[14STD03220]","의원현황[개]","개","398","419","409","","420","426","429","430","436","450","464","473","489","512","548","573","606","642","663","696",
"1535413102140068HC3.11","서울","1535413102140068HD0.6","신경외과","1635413103140068AAA[14STD03220]","의원현황[개]","개","44","50","47","","49","53","51","51","51","51","59","69","79","85","93","102","105","104","104","114",
"1535413102140068HC3.11","서울","1535413102140068HD0.7","심장혈관흉부외과","1635413103140068AAA[14STD03220]","의원현황[개]","개","6","8","9","","6","8","8","7","7","7","8","7","8","9","8","8","10","11","12","12",
"1535413102140068HC3.11","서울","1535413102140068HD0.8","성형외과","1635413103140068AAA[14STD03220]","의원현황[개]","개","251","288","315","","377","405","402","423","428","437","452","457","484","497","521","566","600","624","645","665",
"1535413102140068HC3.11","서울","1535413102140068HD0.9","마취통증의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","92","105","110","","131","144","157","169","179","193","198","221","235","258","269","295","317","325","335","340",
"1535413102140068HC3.11","서울","1535413102140068HD0.A","산부인과","1635413103140068AAA[14STD03220]","의원현황[개]","개","522","495","490","","454","444","429","405","398","393","387","389","388","395","393","387","390","395","397","403",
"1535413102140068HC3.11","서울","1535413102140068HD0.B","소아청소년과","1635413103140068AAA[14STD03220]","의원현황[개]","개","540","538","518","","523","524","521","515","521","520","524","522","517","502","494","468","452","456","459","455",
"1535413102140068HC3.11","서울","1535413102140068HD0.C","안과","1635413103140068AAA[14STD03220]","의원현황[개]","개","367","378","392","","396","401","402","401","404","403","417","424","424","429","442","454","460","465","464","463",
"1535413102140068HC3.11","서울","1535413102140068HD0.D","이비인후과","1635413103140068AAA[14STD03220]","의원현황[개]","개","479","488","505","","536","553","565","572","577","596","617","636","645","658","676","675","678","689","710","721",
"1535413102140068HC3.11","서울","1535413102140068HD0.E","피부과","1635413103140068AAA[14STD03220]","의원현황[개]","개","290","312","333","","390","406","424","424","431","441","456","461","475","487","509","526","532","540","552","582",
"1535413102140068HC3.11","서울","1535413102140068HD0.F","비뇨의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","221","224","230","","237","237","234","228","225","228","229","229","239","244","248","257","259","264","269","278",
"1535413102140068HC3.11","서울","1535413102140068HD0.G","영상의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","60","61","57","","55","50","48","46","42","41","43","42","40","40","39","38","38","44","42","45",
"1535413102140068HC3.11","서울","1535413102140068HD0.H","방사선종양학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","","","","","","","","","","","","","","","","","0","0","0","0",
"1535413102140068HC3.11","서울","1535413102140068HD0.I","병리과","1635413103140068AAA[14STD03220]","의원현황[개]","개","5","7","6","","6","6","7","7","7","6","5","4","4","4","4","4","4","4","4","5",
"1535413102140068HC3.11","서울","1535413102140068HD0.J","진단검사의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","5","4","4","","6","6","6","4","4","3","3","3","4","4","4","4","4","4","2","2",
"1535413102140068HC3.11","서울","1535413102140068HD0.K","결핵과","1635413103140068AAA[14STD03220]","의원현황[개]","개","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1535413102140068HC3.11","서울","1535413102140068HD0.L","재활의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","91","88","87","","92","92","98","91","98","102","114","120","124","136","148","158","165","176","187","198",
"1535413102140068HC3.11","서울","1535413102140068HD0.M","핵의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1535413102140068HC3.11","서울","1535413102140068HD0.N","가정의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","181","185","188","","188","184","177","181","186","188","188","199","202","207","211","208","204","208","210","215",
"1535413102140068HC3.11","서울","1535413102140068HD0.O","응급의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","","","","","","","","","","","","","","","","","0","0","0","0",
"1535413102140068HC3.11","서울","1535413102140068HD0.P","직업환경의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","","","","","","","","","","","","0","0","0","0","0","0","0","0","0",
"1535413102140068HC3.11","서울","1535413102140068HD0.Q","예방의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","","","","","","","","1","0","0","0","0","0","","0","0","0","0","0","0",
"1535413102140068HC3.11","서울","1535413102140068HD0.R","전문과목미표시전문의","1635413103140068AAA[14STD03220]","의원현황[개]","개","1043","1110","1217","","1371","1440","1441","1478","1476","1517","1515","1568","1586","1601","1621","1655","1718","1762","1811","1885",
"1535413102140068HC3.11","서울","1535413102140068HD0.S","일반의","1635413103140068AAA[14STD03220]","의원현황[개]","개","505","511","531","","588","606","616","594","630","641","671","649","667","686","715","733","766","783","815","908",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.1","내과","1635413103140068AAA[14STD03220]","의원현황[개]","개","68","69","70","","72","77","74","78","80","80","82","84","86","89","91","92","96","96","95","99",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.2","신경과","1635413103140068AAA[14STD03220]","의원현황[개]","개","6","5","5","","5","5","5","6","6","6","7","7","7","7","8","8","9","10","10","10",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.3","정신건강의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","41","43","42","","41","39","37","40","40","40","44","45","51","60","72","80","89","100","109","123",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.4","외과","1635413103140068AAA[14STD03220]","의원현황[개]","개","17","19","19","","21","25","24","26","25","26","26","28","30","29","31","32","34","35","36","36",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.5","정형외과","1635413103140068AAA[14STD03220]","의원현황[개]","개","28","28","25","","25","26","27","28","29","33","37","39","40","38","42","45","49","54","55","59",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.6","신경외과","1635413103140068AAA[14STD03220]","의원현황[개]","개","0","2","2","","2","3","3","3","3","5","6","8","8","8","7","8","9","8","7","7",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.7","심장혈관흉부외과","1635413103140068AAA[14STD03220]","의원현황[개]","개","3","3","4","","3","4","3","3","3","2","3","3","3","4","4","4","4","4","5","5",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.8","성형외과","1635413103140068AAA[14STD03220]","의원현황[개]","개","160","185","205","","262","290","288","309","320","325","341","346","363","377","390","415","431","440","446","453",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.9","마취통증의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","11","12","11","","10","11","10","13","10","9","9","9","13","13","14","15","18","17","19","20",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.A","산부인과","1635413103140068AAA[14STD03220]","의원현황[개]","개","59","54","52","","50","50","51","49","46","50","52","52","56","56","53","52","50","52","52","54",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.B","소아청소년과","1635413103140068AAA[14STD03220]","의원현황[개]","개","28","30","30","","28","30","30","27","27","26","30","29","29","29","27","28","29","31","34","37",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.C","안과","1635413103140068AAA[14STD03220]","의원현황[개]","개","57","61","61","","62","66","67","66","68","68","63","63","63","62","69","71","76","74","72","73",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.D","이비인후과","1635413103140068AAA[14STD03220]","의원현황[개]","개","38","40","39","","44","48","47","47","53","60","62","61","62","62","63","62","65","70","70","70",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.E","피부과","1635413103140068AAA[14STD03220]","의원현황[개]","개","65","80","87","","111","116","123","122","119","119","126","128","134","140","149","153","159","160","166","172",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.F","비뇨의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","38","37","37","","39","39","35","38","34","37","37","37","38","37","39","41","41","38","38","40",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.G","영상의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","12","12","12","","12","12","11","12","11","10","10","10","9","8","7","6","6","7","4","4",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.H","방사선종양학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","","","","","","","","","","","","","","","","","0","0","0","0",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.I","병리과","1635413103140068AAA[14STD03220]","의원현황[개]","개","1","2","3","","4","3","4","4","4","4","3","3","2","2","2","2","2","2","2","2",
"1535413102140068HC3.110001","강남구","1535413102140068HD0.J","진단검사의학과","1635413103140068AAA[14STD03220]","의원현황[개]","개","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0",
