선명,역명,간선열차,광역열차,개통일
경부고속,광명,KTX,광역전철,2004-04-01
경부고속,천안아산,KTX,해당없음,2004-04-01
경부고속,오송,"KTX, 무궁화",해당없음,2010-11-01
경부고속,대전,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
경부고속,김천(구미),KTX,해당없음,2010-11-01
경부고속,동대구,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
경부고속,신경주,"KTX, 무궁화",해당없음,2010-11-01
경부고속,울산,KTX,해당없음,2010-11-01
경부고속,부산,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
호남고속,공주,KTX,해당없음,2015-04-02
호남고속,익산,"KTX, ITX새마을, 새마을, 무궁화",해당없음,2004-04-01
호남고속,정읍,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
호남고속,광주송정,"KTX, ITX새마을, 무궁화, 통근열차",해당없음,2004-04-01
경부선,서울,"KTX, ITX새마을, 무궁화",광역전철,2004-04-01
경부선,용산,"KTX, ITX새마을, 새마을, 무궁화","ITX청춘, 광역전철",2004-04-01
경부선,영등포,"KTX, ITX새마을, 새마을, 무궁화",광역전철,2010-11-01
경부선,수원,"KTX, ITX새마을, 새마을, 무궁화",광역전철,2010-11-01
경부선,서대구,KTX,해당없음,2022-03-31
경부선,경산,"KTX, ITX새마을, 무궁화",해당없음,2013-01-01
경부선,물금역,"KTX, ITX새마을, 무궁화",해당없음,2023-12-29
경부선,밀양,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
경부선,구포,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
경의선,행신,KTX,광역전철,2004-04-01
호남선,서대전,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
호남선,계룡,"KTX, ITX새마을, 무궁화",해당없음,2004-07-15
호남선,논산,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
호남선,김제,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
호남선,장성,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
호남선,나주,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
호남선,목포,"KTX, ITX새마을, 무궁화",해당없음,2004-04-01
충북선,충주,"KTX, 무궁화",해당없음,2021-12-31
중부내륙선,가남,KTX,해당없음,2021-12-31
중부내륙선,감곡장호원,KTX,해당없음,2021-12-31
중부내륙선,앙성온천,KTX,해당없음,2021-12-31
중부내륙선(경강선),판교,KTX,광역전철,2023-12-28
경전선,진영,"KTX, ITX새마을, 무궁화",해당없음,2010-12-15
경전선,창원중앙,"KTX, ITX새마을, 무궁화",해당없음,2010-12-15
경전선,창원,"KTX, ITX새마을, 무궁화",해당없음,2010-12-15
경전선,마산,"KTX, ITX새마을, 무궁화",해당없음,2010-12-15
경전선,진주,"KTX, ITX새마을, 무궁화",해당없음,2010-12-15
전라선,전주,"KTX, ITX새마을, 무궁화",해당없음,2011-10-05
전라선,남원,"KTX, ITX새마을, 무궁화",해당없음,2011-10-05
전라선,곡성,"KTX, ITX새마을, 무궁화",해당없음,2011-10-05
전라선,구례구,"KTX, ITX새마을, 무궁화",해당없음,2011-10-05
전라선,순천,"KTX, ITX새마을, 무궁화",해당없음,2011-10-05
전라선,여천,"KTX, ITX새마을, 무궁화",해당없음,2011-10-05
전라선,여수엑스포,"KTX, ITX새마을, 무궁화",해당없음,2011-10-05
동해선,포항,"KTX, 무궁화",해당없음,2015-04-02
중앙선(청량리-도담),청량리,"KTX, 무궁화, 누리로","ITX청춘, 광역전철",2017-12-22
중앙선(청량리-도담),상봉,KTX,"ITX청춘, 광역전철",2017-12-22
중앙선(청량리-도담),덕소,"ktx, 무궁화, 누리로",광역전철,2022-07-31
중앙선(청량리-도담),양평,"KTX, 무궁화, 누리로",광역전철,2017-12-22
중앙선(청량리-도담),서원주,"KTX, 무궁화, 누리로",해당없음,2021-01-05
중앙선(청량리-도담),원주,"KTX, 무궁화, 누리로",해당없음,2021-01-05
중앙선(청량리-도담),제천,"KTX, 무궁화, 누리로",해당없음,2021-01-05
중앙선(도담-경주),단양,"KTX, 무궁화, 누리로",해당없음,2021-01-05
중앙선(도담-경주),풍기,"KTX, 무궁화, 누리로",해당없음,2021-01-05
중앙선(도담-경주),영주,"KTX, 무궁화, 누리로",해당없음,2021-01-05
중앙선(도담-경주),안동,"KTX, 무궁화, 누리로",해당없음,2021-01-05
영동선,동해,"KTX, 무궁화, 누리로",해당없음,2020-03-02
영동선,묵호,"KTX, 누리로",해당없음,2020-03-02
영동선,정동진,"KTX, 누리로",해당없음,2020-03-02
경강선,부발,KTX,광역전철,2021-12-31
경강선(강릉선),만종,KTX,해당없음,2017-12-22
경강선(강릉선),횡성,KTX,해당없음,2017-12-22
경강선(강릉선),둔내,KTX,해당없음,2017-12-22
경강선(강릉선),평창,KTX,해당없음,2017-12-22
경강선(강릉선),진부(오대산),KTX,해당없음,2017-12-22
경강선(강릉선),강릉,"KTX, 누리로",해당없음,2017-12-22
